x,y,yaw,v_ref
2.39008,0.0768698,2.53244,1
2.37439,0.0878165,2.53288,1
2.3587,0.0987493,2.53338,1
2.34302,0.109667,2.53394,1
2.32735,0.120567,2.53456,1
2.31168,0.131447,2.53523,1
2.29602,0.142308,2.53596,1
2.28037,0.153145,2.53675,1
2.26473,0.163959,2.53759,1
2.2491,0.174746,2.53849,1
2.23347,0.185506,2.53945,1
2.21786,0.196237,2.54047,1
2.20226,0.206937,2.54154,1
2.18667,0.217604,2.54267,1
2.17109,0.228236,2.54387,1
2.15552,0.238833,2.54512,1
2.13997,0.249392,2.54643,1
2.12444,0.259911,2.5478,1
2.10891,0.27039,2.54923,1
2.09341,0.280826,2.55072,1
2.07792,0.291217,2.55227,1
2.06244,0.301563,2.55389,1
2.04699,0.31186,2.55557,1
2.03155,0.322109,2.5573,1
2.01613,0.332307,2.55911,1
2.00073,0.342452,2.56097,1
1.98534,0.352543,2.5629,1
1.96998,0.362579,2.5649,1
1.95464,0.372557,2.56695,1
1.93932,0.382476,2.56908,1
1.92403,0.392335,2.57127,1
1.90875,0.402132,2.57353,1
1.8935,0.411866,2.57585,1
1.87828,0.421534,2.57825,1
1.86307,0.431136,2.58071,1
1.8479,0.44067,2.58324,1
1.83275,0.450135,2.58584,1
1.81762,0.459528,2.58852,1
1.80252,0.468848,2.59126,1
1.78745,0.478095,2.59408,1
1.77241,0.487266,2.59697,1
1.7574,0.49636,2.59993,1
1.74241,0.505376,2.60298,1
1.72746,0.514312,2.60609,1
1.71253,0.523167,2.60928,1
1.69764,0.531939,2.61255,1
1.68278,0.540627,2.6159,1
1.66795,0.54923,2.61933,1
1.65316,0.557746,2.62284,1
1.63839,0.566174,2.62643,1
1.62366,0.574513,2.63011,1
1.60897,0.58276,2.63386,1
1.59431,0.590916,2.63771,1
1.57969,0.598979,2.64163,1
1.5651,0.606947,2.64565,1
1.55055,0.614819,2.64975,1
1.53604,0.622594,2.65394,1
1.52157,0.63027,2.65823,1
1.50713,0.637848,2.6626,1
1.49273,0.645324,2.66707,1
1.47838,0.652699,2.67163,1
1.46406,0.65997,2.67629,1
1.44979,0.667137,2.68104,1
1.43555,0.674199,2.6859,1
1.42136,0.681155,2.69085,1
1.40721,0.688002,2.6959,1
1.3931,0.694742,2.70106,1
1.37904,0.701371,2.70632,1
1.36502,0.70789,2.71168,1
1.35105,0.714297,2.71715,1
1.33712,0.720591,2.72273,1
1.32324,0.726771,2.72842,1
1.3094,0.732837,2.73422,1
1.29562,0.738787,2.74014,1
1.28187,0.74462,2.74617,1
1.26818,0.750336,2.75231,1
1.25454,0.755933,2.75857,1
1.24094,0.761411,2.76495,1
1.2274,0.766768,2.77145,1
1.2139,0.772005,2.77808,1
1.20046,0.777119,2.78483,1
1.18706,0.782111,2.7917,1
1.17372,0.78698,2.7987,1
1.16043,0.791724,2.80583,1
1.1472,0.796343,2.81309,1
1.13401,0.800836,2.82049,1
1.12089,0.805203,2.82802,1
1.10781,0.809443,2.83568,1
1.09479,0.813554,2.84348,1
1.08183,0.817538,2.85142,1
1.06892,0.821392,2.8595,1
1.05607,0.825117,2.86772,1
1.04327,0.828711,2.87609,1
1.03054,0.832174,2.8846,1
1.01786,0.835506,2.89326,1
1.00524,0.838707,2.90207,1
0.992676,0.841774,2.91103,1
0.980174,0.844709,2.92013,1
0.967732,0.84751,2.92939,1
0.955351,0.850178,2.93881,1
0.943031,0.852711,2.94837,1
0.930772,0.85511,2.9581,1
0.918575,0.857373,2.96798,1
0.90644,0.859501,2.97802,1
0.894368,0.861494,2.98821,1
0.88236,0.86335,2.99857,1
0.870416,0.86507,3.00909,1
0.858536,0.866654,3.01976,1
0.84672,0.8681,3.0306,1
0.83497,0.86941,3.0416,1
0.823286,0.870582,3.05276,1
0.811668,0.871617,3.06408,1
0.800117,0.872514,3.07557,1
0.788632,0.873273,3.08721,1
0.777215,0.873895,3.09902,1
0.765867,0.874378,3.11098,1
0.754586,0.874724,3.12311,1
0.743375,0.874931,3.13539,1
0.732233,0.875,-3.13535,1
0.721161,0.874931,-3.12276,1
0.710159,0.874724,-3.11001,1
0.699227,0.874378,-3.09711,1
0.688367,0.873895,-3.08405,1
0.677578,0.873273,-3.07085,1
0.666862,0.872514,-3.05751,1
0.656217,0.871617,-3.04402,1
0.645646,0.870582,-3.03039,1
0.635147,0.86941,-3.01663,1
0.624722,0.8681,-3.00273,1
0.614372,0.866654,-2.98871,1
0.604095,0.86507,-2.97455,1
0.593894,0.86335,-2.96028,1
0.583767,0.861494,-2.94589,1
0.573717,0.859501,-2.93138,1
0.563742,0.857373,-2.91677,1
0.553844,0.85511,-2.90206,1
0.544023,0.852711,-2.88724,1
0.534279,0.850178,-2.87234,1
0.524612,0.84751,-2.85735,1
0.515024,0.844709,-2.84227,1
0.505514,0.841774,-2.82713,1
0.496083,0.838707,-2.81191,1
0.48673,0.835506,-2.79663,1
0.477458,0.832174,-2.78129,1
0.468265,0.828711,-2.7659,1
0.459152,0.825117,-2.75047,1
0.45012,0.821392,-2.735,1
0.441169,0.817538,-2.7195,1
0.432299,0.813554,-2.70397,1
0.42351,0.809443,-2.68843,1
0.414804,0.805203,-2.67287,1
0.40618,0.800836,-2.65731,1
0.397639,0.796343,-2.64175,1
0.38918,0.791724,-2.6262,1
0.380805,0.78698,-2.61067,1
0.372514,0.782111,-2.59515,1
0.364306,0.777119,-2.57967,1
0.356183,0.772005,-2.56421,1
0.348145,0.766768,-2.5488,1
0.340191,0.761411,-2.53343,1
0.332323,0.755933,-2.51811,1
0.324541,0.750336,-2.50284,1
0.316844,0.74462,-2.48764,1
0.309233,0.738787,-2.4725,1
0.301709,0.732837,-2.45743,1
0.294272,0.726771,-2.44244,1
0.286922,0.720591,-2.42752,1
0.279659,0.714297,-2.41269,1
0.272484,0.70789,-2.39795,1
0.265396,0.701371,-2.3833,1
0.258397,0.694742,-2.36874,1
0.251487,0.688002,-2.35429,1
0.244665,0.681155,-2.33993,1
0.237932,0.674199,-2.32567,1
0.231289,0.667137,-2.31152,1
0.224735,0.65997,-2.29748,1
0.218271,0.652699,-2.28355,1
0.211897,0.645324,-2.26973,1
0.205613,0.637848,-2.25602,1
0.19942,0.63027,-2.24242,1
0.193318,0.622594,-2.22894,1
0.187307,0.614819,-2.21558,1
0.181387,0.606947,-2.20234,1
0.175559,0.598979,-2.18921,1
0.169822,0.590916,-2.17619,1
0.164178,0.58276,-2.1633,1
0.158625,0.574513,-2.15052,1
0.153165,0.566174,-2.13787,1
0.147798,0.557746,-2.12532,1
0.142524,0.54923,-2.1129,1
0.137342,0.540627,-2.10059,1
0.132254,0.531939,-2.08839,1
0.12726,0.523167,-2.07631,1
0.122359,0.514312,-2.06434,1
0.117552,0.505376,-2.05248,1
0.112839,0.49636,-2.04073,1
0.10822,0.487266,-2.02909,1
0.103696,0.478095,-2.01756,1
0.0992658,0.468848,-2.00613,1
0.0949308,0.459528,-1.99481,1
0.0906908,0.450135,-1.98359,1
0.0865459,0.44067,-1.97246,1
0.0824963,0.431136,-1.96144,1
0.0785421,0.421534,-1.95052,1
0.0746835,0.411866,-1.93968,1
0.0709207,0.402132,-1.92894,1
0.0672537,0.392335,-1.9183,1
0.0636828,0.382476,-1.90773,1
0.0602081,0.372557,-1.89726,1
0.0568297,0.362579,-1.88687,1
0.0535477,0.352543,-1.87656,1
0.0503624,0.342452,-1.86633,1
0.0472737,0.332307,-1.85617,1
0.0442819,0.322109,-1.84609,1
0.041387,0.31186,-1.83608,1
0.0385892,0.301563,-1.82614,1
0.0358885,0.291217,-1.81627,1
0.0332851,0.280826,-1.80647,1
0.0307791,0.27039,-1.79672,1
0.0283706,0.259911,-1.78704,1
0.0260597,0.249392,-1.77742,1
0.0238464,0.238833,-1.76785,1
0.0217309,0.228236,-1.75833,1
0.0197132,0.217604,-1.74886,1
0.0177935,0.206937,-1.73944,1
0.0159717,0.196237,-1.73007,1
0.014248,0.185506,-1.72074,1
0.0126225,0.174746,-1.71145,1
0.0110951,0.163959,-1.7022,1
0.00966598,0.153145,-1.69298,1
0.00833518,0.142308,-1.6838,1
0.00710275,0.131447,-1.67464,1
0.00596873,0.120567,-1.66552,1
0.00493318,0.109667,-1.65642,1
0.00399612,0.0987493,-1.64734,1
0.00315761,0.0878165,-1.63829,1
0.00241766,0.0768698,-1.62925,1
0.00177632,0.065911,-1.62023,1
0.0012336,0.0549417,-1.61123,1
0.000789527,0.0439638,-1.60223,1
0.000444119,0.0329789,-1.59324,1
0.000197389,0.0219888,-1.58426,1
4.93479e-05,0.0109953,-1.57528,1
0,3.2147e-16,-1.56631,1
4.93479e-05,-0.0109953,-1.55733,1
0.000197389,-0.0219888,-1.54835,1
0.000444119,-0.0329789,-1.53936,1
0.000789527,-0.0439638,-1.53037,1
0.0012336,-0.0549417,-1.52136,1
0.00177632,-0.065911,-1.51234,1
0.00241766,-0.0768698,-1.5033,1
0.00315761,-0.0878165,-1.49425,1
0.00399612,-0.0987493,-1.48517,1
0.00493318,-0.109667,-1.47607,1
0.00596873,-0.120567,-1.46695,1
0.00710275,-0.131447,-1.4578,1
0.00833518,-0.142308,-1.44861,1
0.00966598,-0.153145,-1.4394,1
0.0110951,-0.163959,-1.43015,1
0.0126225,-0.174746,-1.42086,1
0.014248,-0.185506,-1.41152,1
0.0159717,-0.196237,-1.40215,1
0.0177935,-0.206937,-1.39273,1
0.0197132,-0.217604,-1.38326,1
0.0217309,-0.228236,-1.37375,1
0.0238464,-0.238833,-1.36418,1
0.0260597,-0.249392,-1.35455,1
0.0283706,-0.259911,-1.34487,1
0.0307791,-0.27039,-1.33512,1
0.0332851,-0.280826,-1.32532,1
0.0358885,-0.291217,-1.31545,1
0.0385892,-0.301563,-1.30551,1
0.041387,-0.31186,-1.2955,1
0.0442819,-0.322109,-1.28542,1
0.0472737,-0.332307,-1.27527,1
0.0503624,-0.342452,-1.26504,1
0.0535477,-0.352543,-1.25473,1
0.0568297,-0.362579,-1.24433,1
0.0602081,-0.372557,-1.23386,1
0.0636828,-0.382476,-1.2233,1
0.0672537,-0.392335,-1.21265,1
0.0709207,-0.402132,-1.20191,1
0.0746835,-0.411866,-1.19108,1
0.0785421,-0.421534,-1.18015,1
0.0824963,-0.431136,-1.16913,1
0.0865459,-0.44067,-1.15801,1
0.0906908,-0.450135,-1.14679,1
0.0949308,-0.459528,-1.13546,1
0.0992658,-0.468848,-1.12404,1
0.103696,-0.478095,-1.1125,1
0.10822,-0.487266,-1.10086,1
0.112839,-0.49636,-1.08911,1
0.117552,-0.505376,-1.07726,1
0.122359,-0.514312,-1.06529,1
0.12726,-0.523167,-1.0532,1
0.132254,-0.531939,-1.04101,1
0.137342,-0.540627,-1.0287,1
0.142524,-0.54923,-1.01627,1
0.147798,-0.557746,-1.00373,1
0.153165,-0.566174,-0.991068,1
0.158625,-0.574513,-0.978292,1
0.164178,-0.58276,-0.965398,1
0.169822,-0.590916,-0.952386,1
0.175559,-0.598979,-0.939258,1
0.181387,-0.606947,-0.926011,1
0.187307,-0.614819,-0.912649,1
0.193318,-0.622594,-0.89917,1
0.19942,-0.63027,-0.885576,1
0.205613,-0.637848,-0.871867,1
0.211897,-0.645324,-0.858046,1
0.218271,-0.652699,-0.844114,1
0.224735,-0.65997,-0.830071,1
0.231289,-0.667137,-0.815921,1
0.237932,-0.674199,-0.801666,1
0.244665,-0.681155,-0.787307,1
0.251487,-0.688002,-0.772848,1
0.258397,-0.694742,-0.758291,1
0.265396,-0.701371,-0.74364,1
0.272484,-0.70789,-0.728898,1
0.279659,-0.714297,-0.714068,1
0.286922,-0.720591,-0.699155,1
0.294272,-0.726771,-0.684162,1
0.301709,-0.732837,-0.669095,1
0.309233,-0.738787,-0.653956,1
0.316844,-0.74462,-0.638752,1
0.324541,-0.750336,-0.623487,1
0.332323,-0.755933,-0.608167,1
0.340191,-0.761411,-0.592796,1
0.348145,-0.766768,-0.57738,1
0.356183,-0.772005,-0.561926,1
0.364306,-0.777119,-0.546438,1
0.372514,-0.782111,-0.530924,1
0.380805,-0.78698,-0.515389,1
0.38918,-0.791724,-0.499839,1
0.397639,-0.796343,-0.484281,1
0.40618,-0.800836,-0.468721,1
0.414804,-0.805203,-0.453166,1
0.42351,-0.809443,-0.437622,1
0.432299,-0.813554,-0.422097,1
0.441169,-0.817538,-0.406595,1
0.45012,-0.821392,-0.391125,1
0.459152,-0.825117,-0.375693,1
0.468265,-0.828711,-0.360304,1
0.477458,-0.832174,-0.344966,1
0.48673,-0.835506,-0.329685,1
0.496083,-0.838707,-0.314467,1
0.505514,-0.841774,-0.299319,1
0.515024,-0.844709,-0.284245,1
0.524612,-0.84751,-0.269253,1
0.534279,-0.850178,-0.254348,1
0.544023,-0.852711,-0.239535,1
0.553844,-0.85511,-0.224821,1
0.563742,-0.857373,-0.210209,1
0.573717,-0.859501,-0.195705,1
0.583767,-0.861494,-0.181313,1
0.593894,-0.86335,-0.167039,1
0.604095,-0.86507,-0.152887,1
0.614372,-0.866654,-0.13886,1
0.624722,-0.8681,-0.124962,1
0.635147,-0.86941,-0.111198,1
0.645646,-0.870582,-0.0975707,1
0.656217,-0.871617,-0.0840829,1
0.666862,-0.872514,-0.0707378,1
0.677578,-0.873273,-0.0575381,1
0.688367,-0.873895,-0.0444863,1
0.699227,-0.874378,-0.0315846,1
0.710159,-0.874724,-0.0188351,1
0.721161,-0.874931,-0.00623952,1
0.732233,-0.875,0.00620044,1
0.743375,-0.874931,0.0184834,1
0.754586,-0.874724,0.0306082,1
0.765867,-0.874378,0.0425738,1
0.777215,-0.873895,0.0543795,1
0.788632,-0.873273,0.0660245,1
0.800117,-0.872514,0.0775084,1
0.811668,-0.871617,0.0888309,1
0.823286,-0.870582,0.099992,1
0.83497,-0.86941,0.110992,1
0.84672,-0.8681,0.12183,1
0.858536,-0.866654,0.132507,1
0.870416,-0.86507,0.143023,1
0.88236,-0.86335,0.15338,1
0.894368,-0.861494,0.163577,1
0.90644,-0.859501,0.173615,1
0.918575,-0.857373,0.183496,1
0.930772,-0.85511,0.19322,1
0.943031,-0.852711,0.202788,1
0.955351,-0.850178,0.212201,1
0.967732,-0.84751,0.22146,1
0.980174,-0.844709,0.230568,1
0.992676,-0.841774,0.239524,1
1.00524,-0.838707,0.248331,1
1.01786,-0.835506,0.256989,1
1.03054,-0.832174,0.265501,1
1.04327,-0.828711,0.273868,1
1.05607,-0.825117,0.282091,1
1.06892,-0.821392,0.290171,1
1.08183,-0.817538,0.298111,1
1.09479,-0.813554,0.305912,1
1.10781,-0.809443,0.313576,1
1.12089,-0.805203,0.321104,1
1.13401,-0.800836,0.328498,1
1.1472,-0.796343,0.335759,1
1.16043,-0.791724,0.34289,1
1.17372,-0.78698,0.349892,1
1.18706,-0.782111,0.356766,1
1.20046,-0.777119,0.363514,1
1.2139,-0.772005,0.370138,1
1.2274,-0.766768,0.37664,1
1.24094,-0.761411,0.383021,1
1.25454,-0.755933,0.389283,1
1.26818,-0.750336,0.395427,1
1.28187,-0.74462,0.401455,1
1.29562,-0.738787,0.407369,1
1.3094,-0.732837,0.413169,1
1.32324,-0.726771,0.418859,1
1.33712,-0.720591,0.424439,1
1.35105,-0.714297,0.42991,1
1.36502,-0.70789,0.435275,1
1.37904,-0.701371,0.440534,1
1.3931,-0.694742,0.44569,1
1.40721,-0.688002,0.450743,1
1.42136,-0.681155,0.455695,1
1.43555,-0.674199,0.460548,1
1.44979,-0.667137,0.465303,1
1.46406,-0.65997,0.46996,1
1.47838,-0.652699,0.474522,1
1.49273,-0.645324,0.47899,1
1.50713,-0.637848,0.483365,1
1.52157,-0.63027,0.487648,1
1.53604,-0.622594,0.49184,1
1.55055,-0.614819,0.495943,1
1.5651,-0.606947,0.499958,1
1.57969,-0.598979,0.503886,1
1.59431,-0.590916,0.507729,1
1.60897,-0.58276,0.511486,1
1.62366,-0.574513,0.51516,1
1.63839,-0.566174,0.518751,1
1.65316,-0.557746,0.52226,1
1.66795,-0.54923,0.525689,1
1.68278,-0.540627,0.529038,1
1.69764,-0.531939,0.532309,1
1.71253,-0.523167,0.535502,1
1.72746,-0.514312,0.538618,1
1.74241,-0.505376,0.541658,1
1.7574,-0.49636,0.544623,1
1.77241,-0.487266,0.547514,1
1.78745,-0.478095,0.550331,1
1.80252,-0.468848,0.553076,1
1.81762,-0.459528,0.55575,1
1.83275,-0.450135,0.558352,1
1.8479,-0.44067,0.560884,1
1.86307,-0.431136,0.563346,1
1.87828,-0.421534,0.56574,1
1.8935,-0.411866,0.568065,1
1.90875,-0.402132,0.570323,1
1.92403,-0.392335,0.572514,1
1.93932,-0.382476,0.574638,1
1.95464,-0.372557,0.576697,1
1.96998,-0.362579,0.578691,1
1.98534,-0.352543,0.580621,1
2.00073,-0.342452,0.582486,1
2.01613,-0.332307,0.584288,1
2.03155,-0.322109,0.586027,1
2.04699,-0.31186,0.587704,1
2.06244,-0.301563,0.589318,1
2.07792,-0.291217,0.590871,1
2.09341,-0.280826,0.592363,1
2.10891,-0.27039,0.593794,1
2.12444,-0.259911,0.595165,1
2.13997,-0.249392,0.596476,1
2.15552,-0.238833,0.597727,1
2.17109,-0.228236,0.59892,1
2.18667,-0.217604,0.600053,1
2.20226,-0.206937,0.601128,1
2.21786,-0.196237,0.602144,1
2.23347,-0.185506,0.603102,1
2.2491,-0.174746,0.604003,1
2.26473,-0.163959,0.604846,1
2.28037,-0.153145,0.605632,1
2.29602,-0.142308,0.606361,1
2.31168,-0.131447,0.607033,1
2.32735,-0.120567,0.607649,1
2.34302,-0.109667,0.608208,1
2.3587,-0.0987493,0.60871,1
2.37439,-0.0878165,0.609157,1
2.39008,-0.0768698,0.609547,1
2.40577,-0.065911,0.609882,1
2.42147,-0.0549417,0.61016,1
2.43717,-0.0439638,0.610383,1
2.45288,-0.0329789,0.61055,1
2.46858,-0.0219888,0.610661,1
2.48429,-0.0109953,0.610661,1
